TempAVG;TempMAX;TempDIFF;TempSUM;RadAVG;RadMAX;RadDIFF;RadSUM;HumidAVG;HumidMAX;DAMAGE_future
25.83541667;33.53;0;51.67083333;230.05;849.73;0;460.1;66.67875;89.17;0
26.28;32.55;-0.98;52.11541667;284.0691667;870.15;20.42;514.1191667;63.195;91.38;1
27.02;35.18;2.63;53.3;295.1858333;857.88;-12.27;579.255;51.79583333;91.7;1
28.05375;37.23;2.05;55.07375;295.05;870.18;12.3;590.2358333;46.23666667;77.65;1
26.91291667;32.65;-4.58;54.96666667;250.4166667;853.25;-16.93;545.4666667;55.11708333;80.5;1
22.82916667;30.9;-1.75;49.74208333;198.1408333;751;-102.25;448.5575;72.0675;90.52;1
32.34764706;36.7;5.8;55.17681373;408.9729412;855.65;104.65;607.1137745;36.03941176;56.7;1
29.16416667;37.55;0.85;61.51181373;287.2604167;854.13;-1.52;696.2333578;47.67291667;81.9;1
29.495;37.75;0.2;58.65916667;270.0333333;835;-19.13;557.29375;50.86458333;72.33;1
25.55625;29.13;-8.62;55.05125;200.6366667;897.2;62.2;470.67;63.71458333;80.5;1
25.84916667;32.9;3.77;51.40541667;204.8204167;729.7;-167.5;405.4570833;63.41833333;84.2;1
26.16375;31.55;-1.35;52.01291667;258.535;826.2;96.5;463.3554167;58.42333333;83.65;1
25.25083333;32.12;0.57;51.41458333;278.0929167;839.4;13.2;536.6279167;55.565;90.15;1
24.83333333;31.92;-0.2;50.08416667;271.6483333;809.72;-29.68;549.74125;50.61833333;80.23;0
23.37708333;29.63;-2.29;48.21041667;226.195;873.45;63.73;497.8433333;55.88458333;94.67;0
23.34666667;29.92;0.29;46.72375;266.24875;841.8;-31.65;492.44375;61.76458333;95.17;1
25.58125;33.7;3.78;48.92791667;265.085;832.77;-9.03;531.33375;47.77125;83.32;1
26.56;33.9;0.2;52.14125;246.6891667;802.9;-29.87;511.7741667;53.26875;78.2;1
25.88916667;31.98;-1.92;52.44916667;251.7233333;819.15;16.25;498.4125;64.5825;94.48;0
25.38458333;34.18;2.2;51.27375;238.8916667;816.52;-2.63;490.615;72.54083333;98.47;0
22.355;27.55;-6.63;47.73958333;102.63125;567.63;-248.89;341.5229167;88.36291667;98.95;0
21.27625;25.35;-2.2;43.63125;179.2679167;822.03;254.4;281.8991667;85.62791667;100;0
25.17875;32.63;7.28;46.455;269.1875;825.97;3.94;448.4554167;64.60583333;93.17;1
25.64541667;32.75;0.12;50.82416667;266.35;834.13;8.16;535.5375;61.74333333;95.55;1
25.09375;32.15;-0.6;50.73916667;263.70875;817.65;-16.48;530.05875;60.84625;95.4;1
23.87875;30.23;-1.92;48.9725;264.3829167;815.87;-1.78;528.0916667;62.6075;95.8;0
23.83458333;29.95;-0.28;47.71333333;236.3125;716.25;-99.62;500.6954167;63.19958333;94.27;0
25.34166667;31.57;1.62;49.17625;247.1495833;799.8;83.55;483.4620833;62.42333333;87.5;0
26.4;32.3;0.73;51.74166667;227.4725;787.07;-12.73;474.6220833;62.80458333;86.85;0
23.89375;29.95;-2.35;50.29375;136.4175;620.18;-166.89;363.89;76.29041667;94.3;1
23.66708333;30.08;0.13;47.56083333;194.80625;783.55;163.37;331.22375;76.42333333;98.95;1
25.2675;32.23;2.15;48.93458333;243.4691667;785.75;2.2;438.2754167;67.20541667;93;1
23.91208333;31.33;-0.9;49.17958333;166.59125;717.13;-68.62;410.0604167;79.59375;98.02;0
23.02583333;27.57;-3.76;46.93791667;178.15125;641.53;-75.6;344.7425;84.20708333;99.22;0
21.90958333;25.13;-2.44;44.93541667;137.26375;519.5;-122.03;315.415;85.80875;96.67;0
21.83125;27.05;1.92;43.74083333;241.5154167;782.45;262.95;378.7791667;71.19916667;99.78;0
21.29416667;25.95;-1.1;43.12541667;116.03;457.27;-325.18;357.5454167;78.05375;93.35;1
23.70833333;30.32;4.37;45.0025;217.6891667;678.9;221.63;333.7191667;72.48291667;95.02;1
24.38333333;30.75;0.43;48.09166667;233.1683333;753.43;74.53;450.8575;69.41375;96;1
25.12333333;32.6;1.85;49.50666667;223.1125;737.83;-15.6;456.2808333;69.46583333;94.85;0
25.22541667;31.3;-1.3;50.34875;222.7358333;746.83;9;445.8483333;71.49583333;91.63;0
25.04458333;31.45;0.15;50.27;162.0579167;698.25;-48.58;384.79375;71.9575;92.17;0
22.44666667;29.63;-1.82;47.49125;201.4566667;755.82;57.57;363.5145833;76.31583333;99.32;0
22.79625;28.13;-1.5;45.24291667;201.61125;754.92;-0.9;403.0679167;70.02916667;94.6;0
22.07333333;28.38;0.25;44.86958333;212.74;738.9;-16.02;414.35125;66.58416667;94.05;0
22.06458333;29.65;1.27;44.13791667;226.3533333;750.75;11.85;439.0933333;64.9925;96.02;0
23.25875;31.03;1.38;45.32333333;214.09;720.45;-30.3;440.4433333;63.5475;93.3;0
25.42583333;30.52;-0.51;48.68458333;133.3491667;511.38;-209.07;347.4391667;58.29083333;76.73;0
24.6725;29.95;-0.57;50.09833333;93.73541667;464.33;-47.05;227.0845833;69.81291667;86.42;0
25.49791667;30.58;0.63;50.17041667;198.5695833;719.55;255.22;292.305;58.16875;71.9;0
15.8475;20.8;-9.78;41.34541667;113.4875;627;-92.55;312.0570833;83.1225;96.87;0
16.06333333;24.18;3.38;31.91083333;223.0804167;748.57;121.57;336.5679167;62.89875;95.92;0
18.98208333;25.37;1.19;35.04541667;208.2429167;725.27;-23.3;431.3233333;57.25583333;87.88;0
